iteration,ratio,objective,residual,left_bc,right_bc
1,1.0000000000e+00,6.5919642391e+00,8.0847169738e-04,5.8181226254e-01,7.7303290367e-02
2,9.2289224175e-01,6.0836726542e+00,8.1862165825e-04,4.9423128366e-01,1.1405413598e-01
3,8.7038155759e-01,5.7375241020e+00,8.3524972433e-04,4.1682451963e-01,1.5684434772e-01
4,8.4068675380e-01,5.5417770174e+00,8.5866713198e-04,3.5105720162e-01,2.0303463936e-01
5,8.2919409869e-01,5.4660178458e+00,8.9371559443e-04,2.9842123389e-01,2.4809117615e-01
6,8.2848868283e-01,5.4613677697e+00,9.4811490271e-04,2.5941345096e-01,2.8662851453e-01
7,8.3077567925e-01,5.4764435684e+00,1.0257159593e-03,2.3296505213e-01,3.1457674503e-01
8,8.3050688795e-01,5.4746717057e+00,1.1254391866e-03,2.1706177294e-01,3.3029285073e-01
9,8.2530025149e-01,5.4403497444e+00,1.2444721069e-03,2.0955459774e-01,3.3435592055e-01
10,8.1527859794e-01,5.3742873626e+00,1.3806776842e-03,2.0863442123e-01,3.2865625620e-01
11,8.0192844710e-01,5.2862836457e+00,1.5334225027e-03,2.1290162206e-01,3.1557339430e-01
12,7.8717258783e-01,5.1890135490e+00,1.7035686178e-03,2.2123345733e-01,2.9749754071e-01
13,7.7278289078e-01,5.0941571806e+00,1.8932436360e-03,2.3261114955e-01,2.7661523223e-01
14,7.6004741923e-01,5.0102054076e+00,2.1056132391e-03,2.4598117173e-01,2.5482881069e-01
15,7.4960814632e-01,4.9413900939e+00,2.3446646519e-03,2.6017799973e-01,2.3372654617e-01
16,7.4143429914e-01,4.8875083856e+00,2.6149682235e-03,2.7392405272e-01,2.1456527710e-01
17,7.3492881729e-01,4.8446244819e+00,2.9213053640e-03,2.8591552377e-01,1.9825479388e-01
18,7.2916271537e-01,4.8066145442e+00,3.2681487501e-03,2.9498091340e-01,1.8535372615e-01
19,7.2317636903e-01,4.7671527632e+00,3.6592253018e-03,3.0025532842e-01,1.7609402537e-01
20,7.1625030865e-01,4.7214964209e+00,4.0974197909e-03,3.0130127072e-01,1.7043863237e-01
21,7.0805688618e-01,4.6674856730e+00,4.5849867165e-03,2.9813635349e-01,1.6815371811e-01
22,6.9866942286e-01,4.6056038504e+00,5.1238900051e-03,2.9117760062e-01,1.6887038946e-01
23,6.8845953981e-01,4.5383006665e+00,5.7161184959e-03,2.8113692999e-01,1.7212150991e-01
24,6.7793926124e-01,4.4689513664e+00,6.3638905995e-03,2.6890367270e-01,1.7735506594e-01
25,6.6759968403e-01,4.4007932432e+00,7.0697553456e-03,2.5543656945e-01,1.8393579125e-01
26,6.5778014261e-01,4.3360631773e+00,7.8366110101e-03,2.4167315662e-01,1.9114950299e-01
27,6.4859487233e-01,4.2755142041e+00,8.6676664650e-03,2.2845833004e-01,1.9822631776e-01
28,6.3992693942e-01,4.2183755003e+00,9.5663629472e-03,2.1649073064e-01,2.0439018309e-01
29,6.3148997943e-01,4.1627593618e+00,1.0536251590e-02,2.0628768206e-01,2.0893463492e-01
