iteration,ratio,objective,residual,left_bc,right_bc
2000,1.0000000000e+00,2.5052800411e-03,2.3168022744e-03,9.1519550551e-06,9.6958219729e-06
2001,4.7621557620e-01,1.1930533783e-03,1.1024671840e-03,1.6890479628e-06,7.3695714491e-06
2002,3.0004139978e-01,7.5168773037e-04,6.8171153544e-04,3.1535839753e-06,3.8440352910e-06
2003,2.1626787133e-01,5.4181158157e-04,4.9755605869e-04,1.8325031306e-06,2.5930492029e-06
2004,1.5073679046e-01,3.7763787259e-04,3.1172781019e-04,3.3279397940e-06,3.2630666738e-06
2005,9.3752133806e-02,2.3487534963e-04,1.9912373682e-04,2.0332215627e-06,1.5419396959e-06
2006,7.6150065194e-02,1.9077723846e-04,1.6885196965e-04,1.8894581899e-06,3.0306873100e-07
2007,5.6058084888e-02,1.4044120121e-04,1.2390833581e-04,1.3323374333e-06,3.2094911262e-07
2008,4.3961349495e-02,1.1013549147e-04,9.5577313914e-05,1.3262458651e-06,1.2957184481e-07
2009,3.6691101482e-02,9.1921484227e-05,7.9913967056e-05,9.3597651585e-07,2.6477516712e-07
2010,3.1669795158e-02,7.9341705714e-05,7.0418653195e-05,6.5160998020e-07,2.4069527171e-07
2011,3.0458588547e-02,7.6307293966e-05,6.3568331825e-05,7.7099599594e-07,5.0290020681e-07
2012,2.2339737153e-02,5.5967297612e-05,4.9780879635e-05,4.7605638542e-07,1.4258539238e-07
2013,2.1163202059e-02,5.3019747725e-05,4.8074289225e-05,3.6359395494e-07,1.3095190354e-07
2014,1.9538640690e-02,4.8949766551e-05,4.3767333409e-05,3.9757762238e-07,1.2066570321e-07
2015,1.7278507340e-02,4.3287499579e-05,3.8635651435e-05,2.9252666423e-07,1.7265814733e-07
2016,1.6191343710e-02,4.0563850234e-05,3.6275767343e-05,3.2054359167e-07,1.0826470742e-07
2017,1.3932333215e-02,3.4904396330e-05,3.1627667340e-05,2.4535933107e-07,8.2313555083e-08
2018,1.2703234977e-02,3.1825161045e-05,2.8921165722e-05,1.7689070830e-07,1.1350882545e-07
2019,1.8539187247e-02,4.6445855787e-05,2.9246739359e-05,2.1927739624e-07,1.5006341982e-06
2020,1.1682293992e-02,2.9267417972e-05,2.5965800887e-05,2.4115959718e-07,8.9002114123e-08
